w,m
George Hambly,乔治.汗布利
glance,一瞥
glance,看一下+扫视
go up,上升+增长+升起
graph,图表+坐标图+曲线图
greenhouse,温室+花房
growth,增长+生长
heading,标题
hectares,公顷
imperative,祈使语气+命令
individual,单独的+个别的
individual,个人+个体
Janice,贾尼丝（女名）
keep on,继续
measurement,衡量+测量+尺寸
methane,甲烷+沼气
microwave,微波炉+微波
mild,温和的+温柔的+淡的
motor,发动机
nuclear ,核的+核能的+原子核的
on behalf of,代表……一方+作为……的代言人
on the whole,大体上+基本的
oppose,反对+反抗+与（某人)较量
oppsoed,反对的+对立的
outer,外部的+外面的
per,每+每一
phenomena ,现象
phenomenon,现象
pollution,污染+弄脏
presentation,显示+演出
put up with,忍受+容忍
quantities of ,大量的
quantity,量+数量
random,胡乱的+任性的
range,种类+范围
refresh,使恢复+使振作
renewable,能再生的+可更新的
result in,导致
slogan,标语+口号
so long as,只要
Sophia,索菲（女名）
state,陈述+说明
steadily,平稳地+持续地
steady,平稳地+持续的+稳固的
subscribe ,同意+捐赠+订阅
subscribe ,（签署）文件+捐助
subscribe to,同意+赞成+订购
tend,趋向+易于+照顾
tend,照顾+护理
tendency,倾向+趋势
trend,趋势+倾向+走势
widespread,分布广的+普遍的
fossil,化石+从地下采掘出来的（矿物）
absolute,绝对的+完全的
absolutely,绝对地+完全地
actual,实在的+实际的
alongside,在旁边+沿着边
anxiety,担心+焦虑+渴望
anxious,忧虑的+不安的
appoint,任命+委派
appreciation,欣赏+感激+感谢
arouse,激发+唤醒某人
ash,灰+灰末
balcony,阳台
bathe,洗澡+游泳
boot,靴子
bungalow,平房+小屋
burn to the ground,全部焚毁
candidate,候选人+候补者
crane,鹤+吊车+起重机
crater,火山口+弹坑
database,数据库+资料库
diagram,图解+图表+示意图
diverse ,多种多样的+不同的
diversity ,多种多样+多样性
document,文件+证件
equipment,设备+装备
erupt,（指火山）爆发+突然发生
eruption,火山爆发+（战争等)爆发
evaluate,评估+评价+估计
fog,雾
fountain,喷泉+源泉
fountain,泉水般地喷出或涌出
fountain,泉水般地喷出或涌出
geology,地质学
glance through,匆匆看一遍
guarantee,保证+担保
halmet,头盔
hurricane,飓风+风暴
lava,(火山喷出的）熔岩+火山岩
leopard,豹
make one's way,前往
Manchu,满族的
Manchu,满人
molten,熔化的+熔融的
Mount Etna,埃特纳火山（意大利西西里岛东北部）
Mount Kilauea,基拉韦厄火山
Mount Vesuvious,维苏威火山
novelist,小说家
observatory,观象台+天文台+气象台
panic,惊慌+恐慌
panic,惊慌
panic,惊慌
peak,山顶+顶峰
persuasion,信服+说服
Pompeii,庞培（意大利古都）
potential,可能的+潜在的
potential,潜在性+ 可能性+潜能
precious,贵重的+ 珍贵的
questionaire,问卷+调查表
rainbow,彩虹
sample,样品
shoot,射中+射伤
shot,射击+枪炮声
Sicily,西西里岛（意大利南部）
spaceman,宇航员+航天专家
spectacular,引人入胜的+壮观的
suit,一套外衣+套装
suit,适合+使适宜
sweat,汗
sweat,出汗
threat,恐吓+威胁
thundersorm,雷暴
tornado,龙卷风+旋风
tremble,摇晃+摇动+颤抖
tsunami,海啸+地震海啸
typhoon,台风
uncomfprtable,不舒服的+不舒适的
unconscious,失去知觉的+未察觉的
vary from…to…,由……到……不等
vocanic,火山的
volcano,火山
volcanologist,火山学家
volcanology,火山学
wave,波浪+波涛
wave,波动+起伏+挥手
,在……旁边+沿着……的边
abolish,废除+废止
abolition ,废除+废止
absence,缺席+不在某处
access,（接近的）方法+通路+可接近性
accessible,可接近的+可进入的+可使用的
adapt,使适应+改编
adapt to,适合
adequate,足够的+充分的
all in all ,总而言之
all the best,（口语）（祝你）一切顺利
ambition ,雄心+野心
ambitious,有雄心的+有野心的
annoy,使……不悦+惹恼
annoyance,烦恼
annoyed,颇为生气的
approval,赞成+认可
architect,建筑师
as well as ,和+也
assistance,协助+援助
Barry Minto,巴里.明托
basement,地下室
bench,长凳
beneficial,有益的+受益的
bowling,保龄球
bump,碰撞 +撞击
certificate,证书
clumsy,笨拙的
community,社区+团体+社会
companion ,同伴+伙伴
conduct,行为+品行
conduct,指挥+管理+主持
congratulate,祝贺+庆贺
congratulation ,祝贺+贺词
cut out,切去+省略+停止（做某事）
dictation,口授+听写（的文字）
dignity,尊严+高贵的品质
disability ,伤残+无力+无能
disabled,伤残的
earphone,耳机
encouragement ,鼓励+奖励
entry,项目+进入+入口
exit,出口+离开+退场
eyesight,视力
fellow,同伴的+同类的
fellow,同伴+同志+伙伴
firm,公司
firm ,结实的+坚固的+坚定的
fulfilling ,令人满意的+令人愉快的
graduation ,毕业+毕业典礼
handy,方便的+有用的
hearing ,听力+听觉
impair,消弱+损伤
in many ways ,在很多方面
in other words,换句话说
infantile paralysis ,小儿麻痹
italics,(pl)斜体（字）
lap,跑道的一圈+重叠部分+（人坐着时）大腿的上方
literature ,文学（作品）+著作+文献
mainstream,主流+主要倾向
make fun of ,取笑
Marty Fielding,马蒂.菲尔丁
meet with ,遇到+经历+会晤
microscope,显微镜
Mount Kilimanjaro,乞力马扎罗山（位于坦桑尼亚+非洲最高山）
never mind ,不必担心
noisy,吵闹的+嘈杂的
out of breath,上气不接下气
outgoing,外向的+友好的+外出的+离开的
outwards ,向外
parrot,鹦鹉
politics,政治（学）
profit,收益+利润+盈利
psychologically ,心理（学）地+精神上地
psychology ,心理（学）
resign,辞职+辞去（工作、职位等）
Rosalyn ,罗莎琳（女名）
row,划（船）
row,一行+一排
row,划（船）
Sally,萨利（女名）
Sanders,桑德斯（姓）
sit around ,闲坐着
slavery,奴隶制
software,软件
suitable,适合的+适宜的
syndrome ,综合病症+综合症状
tank,（盛液体、气体的）大容器+缸+大桶
tortoise,陆龟+龟
wheelchair,轮椅
absurd ,荒谬的+可笑的
accompany ,陪伴+伴奏
affair,事务+事情+暧昧关系
affection,喜爱+爱+感情
alarm,警报+惊恐
alarm,使警觉+使惊恐+惊动
alarmed,担心的+害怕的
alphabetical ,字母（表）的+按字母顺序的
apron,围裙
armchair,扶手椅+单座沙发
aside,在一边+向一边
assessment,评价+评定
awful,极坏的+极讨厌的+可怕的+（口语）糟透的
be bound to ,一定做…..
bedding,寝具+铺盖
biochemistry,生物化学
biography,（由他人撰写的）传记+传记文学
bonus,额外补贴+奖金+红利
Boston,波士顿（美国东北部城市）
bound,一定的+密切相关的
chapter,（书中的）章+篇+回
Claire,克莱尔（女名）
clerk,售货员+职员+旅馆接待员
counter,柜台+计数器
cuisine,烹饪（风味）+菜肴
cushion,（坐、跪时用的）软垫+靠垫+垫子
declare,宣布+声明+表明+宣称
desire,渴望+欲望+渴求
desire,希望得到+想要
digital,数字的+数码的+手指的+脚趾的
disobey,不服从+违抗
disobey,不服从+违抗
divorce,离婚+断绝关系
divorce,与…..离婚+与…..脱离
elegant,优雅的+高雅的+讲究的
empire,帝国
envy,忌妒+羡慕
favour,喜爱+恩惠
favour,喜爱+偏袒
fiction,小说+虚构或想象出来的事
fingernail ,手指甲
framework,框架+结构
Gladys Claffern,格拉迪丝.克拉芬
grand,大的+豪华的+雄伟的
haircut,发型+理发
holy,神的+上帝的+圣洁的
household,家庭的+家用的
household,一家人+家庭
imagination ,想象（力）+创造力+幻想物
in all ,一共+总计
Isaac Asimov,艾萨克.阿西莫夫
junior,较年幼的+资历较浅的+地位较低的
junior ,年少者+晚辈+等级较低者
Larry Belmont,拉里.贝尔蒙特
leave…alone,不管+别惹+让…..一个人待着+和…..单独在一起
mailbox,（美）邮筒+信箱
makeup ,化妆品
Marion,玛丽昂（女名）
master's degree,硕士学位
navy,海军+海军部队
necklace,项链
obey,服从+顺从
obey,服从+顺从
overweight,超重的+体重超常的
part-time,兼职的
PHD=Doctor of Philosophy,哲学博士学位+博士学位
Philadelphia ,费城（美国宾夕法尼亚州重要港口）
pile,堆+摞+叠
pile,堆起+堆积
pile,把…..堆起+积聚
receiver,收件人+接收机+电话听筒
ring up ,给…..打电话
satisfaction ,满意+满足+令人满意的事物
scan,细看+仔细检查+粗略地看+浏览+扫描
set aside,将…..放在一边+为……节省或保留（钱或时间）
staff,全体员工+手杖
sympathy,同情（心）
talent,天才+特殊能力+才干
test out,试验+考验
the Foundation trilogy,(基地）三部曲
theoretical ,理论（上）的+假设的
thinking ,思想+思考
transfusion ,输血
turn around,转向+回转
(be) scared to death,吓死了
abandon,放弃+遗弃+抛弃
accommodation ,住所+住宿
acquarium ,水族馆+水族箱+养鱼缸
ancedote,轶事+奇闻
annual,每年的+按年度计算的
annual,年刊+年鉴
Antarctic,南极的
aware,意识到的+知道的
awesome,使人敬畏的+令人畏惧的
baleen,鲸须
baleen whale ,须鲸
be/become aware of ,对……知道、明白+意识到……
blow-hole,(鲸鱼的）鼻孔+（隧道的）通风口
boundary,界限+分界线
cell,细胞+（蜂房的）巢室
clam,蛤
Clancy,克兰西（男名）
conservation ,保存+保护
depth,深（度）+深处
dimension,维(数)+方面+侧面
dive,跳水的动作+潜水的动作+俯冲
dive,跳水+潜水+俯冲
drag,拖+拉+扯
eel,鳗+鳝
flashlight,闪光信号灯+手电筒+闪光灯
flee,逃离
flee,逃避+逃跑
giant,巨人的+巨大的
giant,巨人+伟人
grey,灰色
grey,灰色的
harpoon,(捕鲸用的）鱼叉
help(…) out ,帮助（某人）摆脱困境或危难
iceberg,冰山
in the meantime ,在此期间+与此同时
jog,慢跑
jog,轻推+轻撞
leap,跳+跳跃
leap,跳+跳跃
leap,跳过（障碍）
lip,一片嘴唇+（容器或洞的）边-口
meantime,其间+同时
migration ,迁徙+迁居+移居
narrow,狭窄的+有限的+狭隘的
neat,（口）好的+整齐的+匀称的
net,网+网状物+网络
oar,桨+橹
offshore,近海（的）+离岸（的）
offshore,近海地+离岸地
opposite,相对的+相反的
opposite,在…..对面
overboard,越过船舷进入水中
pause,暂停+中止
pause,暂停+中止
pension,养老金+退休金
pensioner,领取养老金者
pure,纯的+纯粹的+纯洁的
reflect,思考
reflect,映射+反射+思考
refund,退款
refund,退还+偿还
relationship,关系+血缘关系+交往
scare,受惊吓
scare,恐吓
seal,海豹+封条+印章
seaside,海边（的）+海滨(的）
seaside,海边+海滨
sea-slug,海蛞蝓
seaweed,海草+海藻
shallow,浅的+肤浅的+浅显的
shark,鲨鱼
sharp,锐利的+锋利的+敏捷的
shore,岸+海滨
snorkel,（潜水艇或潜水者的）通气管
snorkel,戴潜水通气管潜泳
steep,陡峭的
suck,吮吸
suck,吮吸
target,目标+靶+受批评的对象
tasty,好吃的+可口的
teamwork,协作+配合
telescope,望远镜
the Antarctic ,南极洲
tide,潮（汐）+潮水+潮流
turtle,海龟+龟+甲鱼
upside down ,上下翻转
urge,催促+极力主张+驱策
vivid,生动的+鲜明的+鲜艳的
witness,目击者+证人+证据
witness,当场见到+目击
yell,叫声+喊声
yell,大叫+呼喊
(be) dying to ,极想+渴望
adjust,调整+适合
adjust,调整+（使）适合
airmail,航空邮件
angle,角+角度
anniversary,周年纪念（日）
arrangement,安排+排列
astronaut ,宇航员+太空人
Bangladesh ,孟加拉国（亚洲国家）
broom,扫帚
bubble,起泡+沸腾的+汩汩地流动
bucket,水桶+吊桶+提桶
catalogue,目录
click,咔嗒声
click,发出咔嗒声
click,（使）发出咔嗒声
clinic,门诊部+小诊所
comb,梳子
comb,梳（发）
concept,观念+概念
distribute,分配+分发
distribution ,分配+分发+分布状态
donate,捐赠
dry out,（使浸水等之物）完全变干+干透
dry up ,(指河流、井等）干涸
economic ,经济的+经济学的
evil,邪恶的
evil,邪恶+罪恶
financial,财务的+金融的+财政的
fortnight,两星期
grill,烤架+大平底锅
grill,烧烤+炙烤
hear from,接到……的信
hut,棚屋+小屋
in need ,在困难中+在危急中
interpreter ,作口译的人
jar,罐+广口瓶
Kenya ,肯尼亚（非洲国家）
leftover,剩余的
leftover,剩余物+残留物+剩饭
loan,贷款
Malawi,马拉维（非洲国家）
muddy,泥泞的+泥土般的
Nepal,尼泊尔（亚洲国家）
operate,工作+运转
operate,操作
otherwise,用别的方法+其他方面
otherwise,否则+不然
ox (pl oxen),公牛
paperwork,文书工作
Papua New Guinea ,巴布亚新几内亚
participate,参与+参加
platform,台+平台+讲台+（火车站的）月台
plough,犁（地）+耕(地）
political ,政治的+政党的
privilege,特权+特别优待
purchase,买+购买
purchase,买+购买
rectangle ,矩形+长方形
rectangular,长方形的+矩形的
relevant,有关的+切题的
remote,遥远的+偏僻的
ridge,山脊+屋脊
roof,屋顶+车顶
security,安全+保护+保障
seed,种子+萌芽
seedling,秧苗+树苗
sew,(用针线）缝
sew,缝制+缝合
sewing machine,缝纫机
sniff,嗅+闻+用鼻子吸
sniff,嗅+闻+用鼻子吸
Sudan,苏丹（非洲国家）
supplement,增补的事物+补充+附录+增刊
tailor,裁缝
tailor,剪裁+缝制（衣服）
Tanzania ,坦桑尼亚（东非国家）
textbook,教科书+课本
the other day,不久前的一天
tin,锡
toast,烤面包（片）+吐司面包+干杯
toast,烤（面包等）+敬酒
tractor,拖拉机+牵引机
trunk,树干+躯干+大衣箱
trunk library,箱式（柜式）图书馆
Uganda,乌干达（东非国家）
vaccination ,接种疫苗
voluntary,自愿的+志愿的+无偿的
weed,除杂草
weed,杂草+野草
weed,除杂草
weekly,每周（的）
weekly,每周
Abigail ,阿比盖尔（女名）
abundant,丰富的+充裕的
academic,学校的+学术的
acknowledge,承认+确认+答谢
adjust to ,适应+调节
agent,代理人+经纪人
apology,道歉+谢罪
as far as one is concerned ,就……而言
autonomous,自主的+自治的+独立的
bachelor,获学士学位的人+未婚男子
bachelor's degree,学士学位
bark,犬吠声+树皮
bark,（指狗等）吠叫+咆哮
battery,电池（组）+电瓶+炮台
be occupied with ,忙着做……+ 忙于某事物
cafeteria,自助食堂+自助餐厅
cage,鸟笼+兽槛
comfort,舒适+安慰
comfort,安慰
contradict,反驳+驳斥
Cuzco,库斯科（秘鲁南部城市）
day in and day out ,日复一日
destination ,目的地
draft,草稿+草案
draft,草拟+起草
drill,钻+钻孔
drill,钻（孔）
enterprise,事业+事业心
essay,文章+散文
fit in ,相适应+相融合
geographical ,地理（学）的
govern,统治+支配+ 管理
govern,统治+支配+ 管理
hike,远足+徒步旅行
hike,远足+徒步旅行
idiom,习语+成语
Inca Empire ,印加帝国
inn,客栈
Jamie,杰米（男名）
Julie,朱莉（女名）
keep it up ,保持优秀成绩+继续干下去
Lake Titicaca ,的的喀喀湖
lecture,演讲+讲课
lecture,演讲+讲课
Lia,莉亚（女名）
Lima,利马（秘鲁首都）
Machu Picchu ,马丘比丘（秘鲁）
minibus,小型公共汽车
motherland,祖国
numb,麻木的+失去知觉的
occupy,占用+占领+占据
oilfield,油田
onwards,向前地+前进地
optional ,可选择的+随意的
out of the question ,不可能的+不值得讨论的
parallel ,平行的+相同的+类似的
Peru,秘鲁
preparation,准备+预备
Puno,普诺（秘鲁）
qualification ,资格+资历
quene,队列+行列
quene,排队
recommend,推荐+建议
requirement,需要+要求
revise,复查+修正+复习
revision ,复查+修正+复习
routine,通常的+例行的
routine,常规+日常事物
Rugby,（英式）橄榄球
Sam,萨姆（男名）
seminar,（专题）研讨会
settle in ,(迁入新居、更换工作后）安顿下来
shopkeeper,店主
site,地方+地点+现场
substitute ,代替者+代用品
substitute ,用……代替……
the Amazon Jungle ,亚马孙河热带丛林
the Andes mountains ,安第斯山脉
tomb,坟墓
travel agent ,旅行代办人+ 旅行代理人
tutor,导师+助教+家庭教师
videophone,可视电话
visa,签证
a great/good many,许多+很多
adventure,冒险家
aircraft,飞行器+航空器+飞机
Alaska ,阿拉斯加（州）
Andrew Hallidie,安德鲁.哈利迪
Angel Island,天使岛
angle,角+角度
apparent,显而易见的+显然的+表面上地
apparently,显然地+显而易见地
applicant,申请人
apply for,申请+请示得到
Arctic,北极的+北极区的
authority,权威+权力（pl)当局+官方
back to back,背靠背
bakery,面包房+面包厂
Bering Strait,白令海峡
boom,繁荣
boom,处于经济迅速发展时期
brake,闸+刹车+制动器
brake,刹(车)+用制动器减速
brake,刹(车)+用制动器减速
by means of,用。。。办法+借助。。。
cable,缆绳+绳索+电缆
cable car,缆车+（美）有轨缆车
California ,加利福尼亚
Californian,加利福尼亚（州）人的
Californian,加利福尼亚（州）人
Cambodian,柬埔寨人+柬埔寨语
Catholic,天主教的
Catholic,天主教徒
cattle,牛（总称）
civil,公民的+国内的+民间的
conductor,（公车）售票员+列车员+（乐队）指挥
crossing,横渡+横越+十字路口+人行横道
customs,海关+关税+进口税
Denmark,丹麦（北欧国家）
despite,尽管+不管
distinct,清晰的+明显的+明确的
distinction,差别+区别+卓著
elect,选择+决定做某事+选选举某人
fascinating,迷人的+吸引人的
federal,联邦制的+联邦政府的
ferry,渡船+渡口
ferry,摆渡+渡运
grasp,抓住+抓紧+掌握+领会
grasp,抓住+抓紧+掌握+领会
hardship,苦难+困苦
hire,租用+雇用
hire,租用+雇用
Hispanic,（美）讲西班牙语的美国人
Hollywood,好莱坞+美国电影业
illustrate,说明
immigrant,（从国外移入的）移民
immigrate,移入（外国定居）
immigration,移民+移居入境
indicate,指出+标示+表明+暗示
insert,插入+嵌入
Italian,意大利人的+意大利语的
Italian,意大利人+意大利语
Italy,意大利
justice,正义+公平
keep up,坚持+维持+沿袭
Korea,韩国+朝鲜
Korean,韩国（人、语）的+朝鲜（人、语）的
live on,继续存在+继续生存
Los Angeles,洛杉矶
luggage,行李（baggage）
majority,大多数+大半
make a life,习惯于新的生活方式、工作等
mark out,画线+标出。。。界线
means,手段+方法
ministry,（政府的）部+（全体）牧师+牧师的职责
miserable,痛苦的+悲惨的
mourn,哀悼+悼念+表示悲痛
mourn,哀悼+悼念+表示悲痛
nephew,侄子+外甥
nowhere,无处+到处都无
occur,发生+出现
Pakistan,巴基斯坦
Pakistani,巴基斯坦（人）的
Pakistani,巴基斯坦人
percentage,百分比+百分率
pole,地级+电极+磁极
prehistoric ,史前的
punishment,处罚+惩罚
racial,人种的+种族的
rail,铁路+扶手+（护栏的）横条
reform,改革+改造+改良
reform,改革+革新
reform,改革+革新
San Francisco,圣弗朗西斯科
seagull,海鸥
shave ,刮+剃
slip,滑动+滑到
socialism,社会主义
socialist,社会主义者的
socialist,社会主义者+社会党人
strait,海峡
take in,包括+吸收
team up with,与。。。合作或一起工作
thankful,感激的+感谢的
the Arctic,北极的+北极区的
thoughtful,关切的+体贴的+深思的
tram,（有轨）电车
vice,代理+副职
vice,代理+副职
wharf,码头
accumulate,积累+聚积
accumulate,积累+聚积
adore,崇拜+爱慕+喜爱
altogether,总共+完全地
arbitrary,任意的
assumption,假定+设想
attain,获得+到达（水平、年龄、状况等）
aurochs,原牛
be bound to do,一定或注定做……
bison,北美或欧洲野牛
bother,烦扰
bother,操心
bother,打扰
breakthrough,突破
bring back to life,使复生+使复活
calf,小牛+牛犊
carrier,携带者+搬运工+运输工具
cast,扔+投+掷
cast down,沮丧+不愉快
chorus,合唱+合唱队
claw,爪+脚爪
commercial,商业的+贸易的
complicated,复杂的+难懂的
compulsory,必须做的+义务的+强迫的+强制的
conservative,保守的+守旧的
constitution,宪法+章程
correction,改正+纠正+修正
cutting,剪枝+剪报+剪纸
decoration,装饰
differ,不同+相异
DNA,脱氧核糖核酸
draw back,缺点+不利条件
dye,染色剂
dye,给……染色+染
embryo,胚+胚胎+萌芽时期
exact,精确的
fairly,公平地+相当地
fate,命运+天命
feather,羽毛
flour,面粉
forbid,禁止+不准
form time to time,不时+偶尔
great auk,大海雀（已灭绝）
hatch,孵化
hatch,孵出+孵卵+
identical,同一的+一模一样的
impact,撞击+冲击+巨大的影响
in favour of,赞成+支持
in good / poor condition,状况很好（坏）+情况很好（坏）
in vain,白费力气+枉费心机
initial,最初的+开始的
Jurassic Park,侏罗纪公园（美国电影名）
loaf,一条（面包）
medium,媒介+手段+工具
merely,仅+只+不过
moral,道德（上）的+伦理的
nonsense,胡说+无稽之谈+废话
nucleus,原子核+中心
object,反对+不赞成+
objection,不赞成+反对+异议
obtain,获得+赢得
opera,歌剧+歌剧团+歌剧院
owe,欠（账、钱、人情等）+归功于
pay off,得到好结果+取得成功+偿清
popularity,受人喜爱+流行
procedure,程序+步骤+手续
quagga,白氏斑马（已灭绝）
reasonable,合情理的+讲道理的+公道的
regulation,规则+规章+法规
resist,抵抗+对抗
restore,恢复+使恢复原状+重建
retire,退休+离开
shortly,立刻+不久
side road,旁路+支线+岔道（美sidewalk）
somatic,躯体的+肉体的+细胞体的
straightforward,简单的+直接的+坦率的
strike,罢工
strike,罢工
strike,打+撞击
strike…into one's heart,使……刻骨铭心
the media,大众传播媒体（电视、报纸等）
turkey,火鸡
twin,成双的+成对的
twin,双胞胎之一+孪生儿之一
unable,不能的+不会的
underake,着手+从事+承担
vain,虚荣的+自负的+徒劳的
abrupt,突然的+意外的
abruptly,突然地+唐突地
Alexander Graham Bell,亚历山大·格雷厄姆·贝尔
amphibious,两栖（类）的
associate,同伴+伙伴
associate,联想+联系
bear,忍受+忍耐+负担
beaten track,被踩出来的路+常规+惯例
call up,给……打电话
caution,小心+谨慎
claim,要求+声称+主张
claim,要求+声称+主张
competence,能力+胜任+本领
competent,能胜任的+有能力的+称职的
convenient,便利的+方便的+就近的
court,法庭+法院+朝廷
courtroom,法庭+审判室
courtyard,院子+庭院+天井
criterion,（评判的）标准+尺度
cube,立方体+立方
cubic,立方的
current,现在的+当前的
current,（水或气）流+电流
dial,拨（电话）
directory,电话簿+商行名录
distinguish,辨别
distinguish,显示……的差别+使……有所不同
dive into,迅速把手伸入+一心投入
dot,点+小圆点
dot,以小圆点标出+分散
dynamic,充满活力的+精力充沛的+动态的+发展变化的
expectation,预料+期待+期望
extension,电话分机+扩大+延伸
file,文件+档案+文件夹
file,提交+将……归档
forehead,额头
freezing,冰冻的+严寒的
George Stephenson ,乔治·斯蒂芬森
get through,设法联系上（尤指打通电话）+设法做完+通过
glue,胶+胶水
glue,粘贴+粘合
greengrocer,蔬菜水果商+（pl）蔬菜水果店
hang on,不挂断+稍等+紧紧握住
helicopter,直升飞机
identification,鉴定+辨认+确定+身份证明
innocent,清白的+无罪的+天真的
invaluable,无价的+极宝贵的
jam,堵塞+阻塞+果酱
James Dyson,詹姆斯·戴森
jeep,吉普车
jelly,果冻+果冻状物
lantern,灯笼+提灯
merciful,宽大的+仁慈的+慈悲的
merrily,高兴地+愉快地
merry,愉快的+高兴的
microphone,麦克风+话筒
Morse code,莫尔斯电码
multiple,多种的+多样的+多类型的
multiple,倍数
now and then,偶尔+有时
occasionally,偶然地+不时地
out of order,次序颠倒+发生故障
passive,被动的+消极的+被动语态的
patent,专利证书+专利权
perfume,香水+香味
personnel,人力资源+人事部+全体人员
powder,粉末+火药
practical,实际的+实践的+实用的
product,产品
rainfall,降雨
recognition,认出+认可+承认
refrigerator,冰箱
reproduce,复制+再现……的形象或声音
ring back,回复电话
ring off,挂断电话
ripe,熟的+成熟的
rod,杆+棒
seize,抓住+捉住+夺
set about,着手+开始
set out (to do),开始做
stable,稳固的+稳定的+安定的
stainless,无锈的+不锈的+没有污点的
straw,稻草+麦秆+饮料吸管
string,线+绳子+一串
tap,轻轻的敲击（声）+（水）龙头
tap,轻打+轻敲+轻拍
tap,轻打+轻敲+轻拍
tetrahedron,四面体
triangle,三角形+三角形物体
valid,有效的+确凿的
version,版本+译本
walnut,胡桃+胡桃木
wire,金属丝+电线
acquaintance,相识+了解+熟人
adaptation,适应（性）+改编本
alphabet,字母表
amazement,惊讶+惊愕
ambassador ambassadress,大使+使节
antique,古时的+珍贵的
antique,文物+古董+古玩
authentic,真实的+真正的+可信的+可靠的
bathtub,浴缸+澡盆
believer,信徒+教徒
betray,显露出（本来面目）+背叛
briliant,光辉灿烂的+杰出的+才华横溢的
Buddha,佛
Buddhism,佛教
Buddhist,佛教徒的
Buddhist,佛教徒
caption,（图片上的）说明文字+字幕+（杂志等文章的）标题+题目
clasify,编排+分类+归类
classic,经典的+第一流的
classic,经典著作
colonel,（陆军）上校
compromise,妥协+折衷
condemn,谴责+使。。。注定
cookie,饼干
cream,奶油+面霜
curtsy,（女子行的）屈膝礼
curtsy,（also curtsey）行屈膝礼
disapprove,不赞成+反对+认为不好
disapprove,不赞成+反对+认为不好
disguise,伪装
disguise,伪装+假扮+遮掩
disgusting,使人反感的+令人厌恶的
disk,磁盘
duchess,公爵夫人+女公爵
effective,有效的
extraordinary,不同寻常的+非凡的
fade,褪色+减弱+逐渐消失
fade,使褪色+减弱+逐渐消失
fade out,逐渐模糊+渐淡
fateful,重要的+决定性的+命中注定的
fortune,机会+运气+大笔的钱
garment,（一件）衣服
generally speaking,一般来说
George Bernard Shaw,乔治.伯纳德.萧
gutter,排水沟+阴沟+贫民区
handful,一把+少量
handkerchief,手帕+手绢+纸巾
heartily,尽情地+热心地+痛快地
hesitate,犹豫+踌躇
Higgins,希金斯（姓）
horrible,可怕的+恐怖的
in amazement,震惊+惊讶
in disguise,伪装（的）+假扮（的）
in need of,需要
in terms of,就。。。来说+从。。。角度
laundry,洗衣店+洗衣房+（待洗的或洗好的）衣服
make one's acquaintance,结识+与。。。相见
mistaken,（见解或判断上）错误的+不正确的
musical,音乐的+喜爱音乐的
musical,音乐喜剧
nail,指甲+钉子
once more,再一次
outcome,结果+效果
overlook,俯视+忽视+不理会
pass…off as…,（把某人）改变或冒充成。。。
Pearce,皮尔斯（姓）
phonetics,语音学
Pickering,皮克林（姓）
plot,情节+阴谋
professor,教授
properly,适当地+恰当地
Pygmalion,皮格马利翁（希腊神话）
referee,裁判员+仲裁者
remark,谈论+言论+评述
remark,谈论+评论+说起
remark,谈论+评论+说起
rob,抢劫+盗窃+剥夺
shabby,破旧的+寒酸的
shilling,先令（1971年以前的英国货币单位+旧币的12便士）
show…in,带或领。。。进来
sob,啜泣（声）+抽噎（声）
sob,啜泣+抽噎
status,身份+地位+职位
stocking,长袜
superior,优秀的+较高的+上级的
superior,上级+长官
teapot,茶壶
thief,小偷+贼
troublesome,带来麻烦的+使人心烦的
uncomfortable,不舒服的+不安的+不自在的
uncomfortably,不舒服地+不自在地
upper,（位置或地位）较高的+级别较高的
vest,背心+内衣
vowel,元音+元音字母
waist,腰+腰部+腰围
wallet,皮夹+钱包
wax,蜡+蜜蜡
wax,上蜡
wax disk,旧式唱片
whistle,口哨声+汽笛声
whistle,吹口哨+发出汽笛声
woollen,毛纺的+纯毛的（美woolen）
,妥协+折衷
academy,学院+学会+学术团体+院校
accelerate,加速+促进
accelerate,加速+促进
accuracy,精确+准确
acute,有观察力的+敏锐的+严重的+深刻的
album,相册+集邮册+唱片
alternative,供选择的+其他的
alternative,可能的选择
ample,足够的+充足的+富裕的
analysis,（pl analyses）分析
applaud,鼓掌欢迎+赞赏
applaud,鼓掌欢迎+赞赏
archaeological,考古学的+以考古学有关的（美archeological）
archaeologist,考古学家（美archeologist）
archaeology,考古学（美archeology）
arrest,逮捕+拘留
arrest,逮捕+吸引
arrowhead,箭头
assume,假定+设想
at most,至多+最多
axe,斧+斧子
BC,公元前
bead,小珠子+滴
beast,野兽
botanical,植物学的+与植物学有关的
botany,植物学
category,种类+类别+范畴
centimetre,厘米（美centimeter）
cheekbone,颧骨
craftsmanship,技艺+手艺+精工细作
cup up,切碎
date back,追溯到。。。
delete,删+删除
division,分割+划分+分配+分界线
dizzy,晕眩的+昏乱的
excavate,挖掘+发掘
excavation,挖掘+发掘
eyebrow,眉毛
fed up with,受够了+饱受+厌烦
gaily,快乐地+轻松地
gay,快乐的+欢乐的
hammer,铁锤+锤子
howl,长嚎
howl,嗥叫+叫喊+吼叫
howl,嗥叫+叫喊+吼叫
identify,确认+识别+鉴别
interrupt,打断讲话+打岔+暂时中断或中止
interrupt,打断。。。讲话+打岔+暂时中断或中止
kindergarten,幼儿园
look ahead,向前看+为将来打算
mat,席子+垫子
